trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
58,0,58,0,10,159.12987580057234,159.12987580057234,0.061700900085270405,[-0.32125],[0.12875],[1],[0],[0],[2.5472154999151826],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
59,0,59,0,5,161.7084248000756,161.7084248000756,0.03408470004796982,[-0.08375],[0.36375],[1],[0],[0],[1.4399168007075787],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
60,0,60,0,10,163.22325650043786,163.22325650043786,0.06299019977450371,[-0.2075],[0.47625],[1],[0],[0],[1.5282811997458339],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
61,0,61,0,5,164.79192180000246,164.79192180000246,0.0344162005931139,[0.14375],[0.33375],[1],[0],[0],[1.5735547002404928],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
62,0,62,0,5,166.41086219996214,166.41086219996214,0.03544289991259575,[0.005],[0.0825],[1],[0],[0],[1.1072826003655791],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
63,0,63,0,10,167.60144740063697,167.60144740063697,0.06588790006935596,[0.09875],[-0.155],[1],[0],[0],[1.5655978005379438],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
64,0,64,0,10,169.23648370057344,169.23648370057344,0.058158500120043755,[-0.5075],[0.29875],[1],[0],[0],[1.8829879006370902],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
65,0,65,0,10,171.18511720001698,171.18511720001698,0.057161400094628334,[-0.4025],[0.25625],[1],[0],[0],[2.4332213001325727],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
66,0,66,0,5,173.65645250026137,173.65645250026137,0.033412499353289604,[-0.04625],[-0.06625],[1],[0],[0],[1.40731589961797],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
67,0,67,0,5,175.10706800036132,175.10706800036132,0.03353489935398102,[-0.35625],[-0.44],[1],[0],[0],[1.541796300560236],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
